Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std
RandomForest,45.26600848539723,1.4734956591985935,27.50067276245563,0.6554108801255439
Subagging,50.815498653164674,1.5385196323622568,32.030913121043085,0.636701246275251
Boosting,71.44679562713266,1.5257140574964279,48.56069407266267,0.9184063626495645
